Date,Dish,Quantity,Cost_Per_Dish,Total_Cost_For_Dish,Daily_Expenses
2025-05-19,rice and beef,67.0,â‚¬3.20,â‚¬214.40,â‚¬214.40
2025-11-14,beef noodles,67.0,â‚¬3.86,â‚¬258.62,â‚¬269.67
2025-11-14,stir fry noodles,5.0,â‚¬2.21,â‚¬11.05,â‚¬269.67
2025-05-19,ricebeef,67.0,â‚¬4.20,â‚¬281.40,â‚¬429.47
2025-05-19,stir fry noodles,67.0,â‚¬2.21,â‚¬148.07,â‚¬429.47
2025-11-17,stir fry noodles,100.0,€2.21,€221.00,€221.00
2026-02-01,stir fry noodles,3.0,€2.21,€6.63,€6.63
2026-02-01,stir fry noodles,5.0,€2.21,€11.05,€11.05
2026-02-01,stir fry noodles,50.0,€2.21,€110.50,€110.50
2026-02-03,stir fry noodles,50.0,€2.21,€110.50,€110.50
2026-02-03,stir fry noodles,90.0,€2.21,€198.90,€198.90
